Name,Ort,Webseite,Twitterhandle,Akteurstyp,Experimentierfelder
Hendrik Lehmann,Berlin,"https://digitalpresent.tagesspiegel.de/
https://kress.de/news/detail/beitrag/141979-hendrik-lehmann-leitet-neues-tagesspiegel-innovation-lab.html",@plateauton,Individual (intrapreneur),"Technology, Content"
HHLab,Hamburg,"https://www.hhlab.de
https://newsinitiative.withgoogle.com/dnifund/dni-projects/learning-content/, https://www.hhlab.de/learning-content/","@HHLAB_de
@Dreykluft",Innovation Unit,"Technology, Content"
Hostwriter,Berlin,hostwriter.org,@Hostwriter,Startup,"Technology, Audience Relationship"
Huffpost Deutschland,München,"https://www.huffingtonpost.de/
https://www.morgenpost.de/wirtschaft/article216184759/Deutsche-Huffington-Post-wird-Ende-Maerz-eingestellt.html",@HuffPostDE,Startup,
hyScore,,https://www.hyscore.io,@hyscoreio,Startup,Technology
Identifying & Monetising Evergreen Content,Münster,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/identifying-monetising-evergreen-content-round-5/
 aschendorff.de/",,Project (established news organization),"Technology, Content"
InnoLab der HMS,Hamburg,"https://www.hamburgmediaschool.com/forschung-labs/labs/innolab
https://www.mediummagazin.de/haltung-bitte/","@HHMediaSchool
@Augstein",Innovation Unit (research institute),"Technology, Funding"
Ippen Digital,München,https://ippen-digital.de,@ID_gmbh,Innovation Unit,Technology
Isabelle Klein,"Köln, Leipzig","https://detektor.com, geschichten.detektor.fm/musik/pop-ist-kein-weisser-heterosexueller-mann/, www.miz-babelsberg.de/klick-pop, isabelleklein.de",@huiahoi,Individual (entrepreneur journalist),Content
Isabelle Sonnenfeld,Berlin,https://newsinitiative.withgoogle.com/google-news-lab,@isasun,Individual (intrapreneur),Technology
Jakob Vicari,"Berlin, Lüneburg",https://jakobvicari.de,@vicari,Individual (entrepreneur journalist),"Technology, Content"
Jetzt,München,http://jetzt.de,@jetzt,Spin-off,Content
Jochen Spangenberg,"Berlin, Bonn","https://revealproject.eu, jospang.wordpress.com, http://blogs.dw.com/innovation/","@jospang
@RevealEU","Individual (entrepreneur-journalist, intrapreneur)",Technology
Jochen Wegner,Berlin,https://about.me/jochen,@jochen,"Individual (entrepreneur journalist, intrapreneur)","Content, Technology, Audience Relationship"
Joel Kaczmarek,Berlin,"https://www.digitalkompakt.de
https://www.gruenderszene.de/",@Indivijoel,Individual (entrepreneur journalist),Content
Johnny Häusler,Berlin,http://www.spreeblick.com/,@spreeblick,Individual (entrepreneur journalist),Content
Jornu,,https://jornu.com/,@jornuDE,Project,"Audience Relationship, Technology"
Julia Berger,Berlin,,"@j_brgr
@BusinessPunkMag",Individual,Content
Juliane Leopold,Hamburg,,@julianeleopold,Individual (intrapreneur),Content
Julius Tröger,Berlin,https://juliustroeger.de,@juliustroeger,Individual (intrapreneur),"Technology, Content"
Kerngedanke,München,https://kerngedanke.com/,@krngdnk,Startup,Technology
Kr3m,Karlsruhe,https://kr3m.com,@kr3mmedia,Startup,Technology
Krautreporter,Berlin,https://krautreporter.de,@krautreporter,Startup,"Content, Funding, Business Model, Audience Relationship"
Labiotech.eu,Berlin,https://labiotech.eu,@Labiotech_eu,Startup,"Content, Business Model"
LaterPay,München,https://www.laterpay.net/,@laterpay,Startup,"Technology, Business Model"
Léa Steinacker,Düsseldorf,https://www.leasteinacker.com/,@leasteinacker,"Individual (entrpreneur journalist, intrapreneur)",
LIMES,"Hamburg, Berlin","https://blogs.dw.com/innovation/project-limes-the-future-of-augmented-interactive-live-streaming/
https://contentflow.net/",,Project (established news organization),Technology
Lina Timm,München,https://www.media-lab.de/,"@Luisante
@MediaLabBayern",Individual (entrepreneur-journalist),"Organizational Structure, Funding, Business Model, Content"
Linius,Berlin,http://linius-storytelling.de/,,Project,"Technology, Content"
LinkLift,Berlin,http://www.linklift.de/,@Linklift_DE,Startup,Technology
Lokalpioniere,Bielefeld,https://www.lokalpioniere.de/,,Startup,"Audience Relationship, Business Model, Technology"
Lokalportal,Hamburg,https://lokalportal.de/,@Lokalportal_DE,Startup,"Business Model, Audience Relationship"
Lorenz Matzat,Berlin,https://datenjournalist.de/lorenz-matzat/,@lorz,Individual (entrepreneur journalist),"Technology, Content, Funding"
Luminovo,München,https://luminovo.ai/,@luminovo,Startup,Technology
Lutz Knappmann,Düsseldorf,https://www.wiwo.de,@LKnappmann,Individual,Content
Marco Maas,"Hamburg, Berlin",https://datenfreunde.com,@themaastrix,Individual,Technology
Mark Heywinkel,Berlin,"https://markheywinkel.de
https://ze.tt/",@markheywinkel,Individual (intrapreneur),Content
Markus Beckedahl,Bonn,https://netzpolitik.org,"@netzpolitik, @republica, @newthinking",Individual (entrepreneur journalist),Content
Martin Hoffmann,Berlin,https://mrtnh.de,@martinhoffmann,"Individual (entrepreneur journalist, intrapreneur)","Technology, Audience Relationship"
Mashtag,Saarbrücken,https://mashtag.com/,,Startup,Technology
Media Lab Bayern,München,https://www.media-lab.de/,@medialabbayern,Accelerator / Incubator,"Business Model, Funding, Organizational Structure"
Media Lift,Hamburg,https://www.nextmedia-hamburg.de/,@nextmediahh,Accelerator / Incubator,"Business Model, Funding, Organizational Structure"
Media Tech Hub,Potsdam,https://www.mth-potsdam.de/en/frontpage/,@mediatech_hub,Accelerator / Incubator,"Business Model, Funding, Organizational Structure"
MedWatch,Hamburg / Karlsruhe,https://medwatch.de,@medwatch_de,Startup,Content
Merkurist,Mainz,https://merkurist.de,"@Merkurist_biz, @Merkurist_Mainz",Startup,"Content, Audience Relationship"
MessengerPeople,München,https://messengerpeople.com,@MessengerPeople,Startup,"Technology, Audience Relationship"
Miriam Schröder,Berlin,,@von_mirs,Individual (intrapreneur),Content
Mirko Lorenz,Berlin,https://datawrapper.de,"@mirkolorenz
@Datawrapper","Individual (entrepeneur journalist, intrapreneur)",Technology
MIT KIDZ,Bochum,https://mit-kidz.de,"@mit_kidz
@tapulator",Project,Content
